sample_id,snr_db,fiber_length_km,class,class_name,location_km,location_norm,reflectance_db,loss_db,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
sample_000000,19.3905587909189,32.08846169945872,3,bending,21.74414364678151,0.6776312261534275,,1.0179754133820724,1.0,0.9679329,0.93783253,0.899735,0.8276913,0.8414577,0.830336,0.74880445,0.71195054,0.6927821,0.6517339,0.64365727,0.5948886,0.5671514,0.5351967,0.5201011,0.5010549,0.44270056,0.39745906,0.41421446,0.232343,0.22942287,0.20011334,0.14129762,0.19222876,0.107512474,0.06138346,0.055928417,0.0073535102,0.0
sample_000001,-2.6129147010195624,15.326404917378834,6,pc_connector,8.487005324175788,0.5537505611999229,-13.082488278762298,1.3796397425717755,0.8215293,0.88933337,0.34549162,0.9814939,0.520478,0.7949558,0.76189953,0.674914,0.56039524,0.42374632,0.48873836,0.606835,0.63376796,0.4506996,0.6409359,0.78185487,0.833031,1.0,0.7475436,0.12962319,0.70536876,0.5619329,0.33943397,0.23661196,0.4191914,0.0,0.2788972,0.33016506,0.43905255,0.43557328
sample_000002,0.9275962949730756,27.30899157689775,5,fiber_cut,25.287963756735554,0.9259940516488386,-59.07154848962184,32.47455918276267,0.9298167,1.0,0.94339335,0.9202961,0.96958333,0.8949164,0.8741083,0.91671157,0.83317226,0.8419816,0.8470811,0.79821,0.84581214,0.8354923,0.85582155,0.7705781,0.7011041,0.77345145,0.75325984,0.67741615,0.7193455,0.7541383,0.8477558,0.8000432,0.90215236,0.65561074,0.6282993,0.0,0.045341928,0.008343117
sample_000003,15.855879620726057,20.705314417371426,3,bending,8.051245532431603,0.38884922827719715,,2.2581482342111334,1.0,0.9324642,0.93278164,0.8836645,0.8875627,0.80176026,0.79561615,0.77145815,0.7801105,0.7108822,0.8018275,0.7814111,0.50865114,0.41352737,0.39310533,0.394562,0.3642668,0.28186372,0.2956406,0.34015232,0.2663438,0.20426753,0.2004721,0.17533913,0.14410561,0.12809552,0.03993008,0.10212099,0.056868695,0.0
sample_000004,7.035518754637986,20.26409721200642,3,bending,14.150972951910823,0.6983273325162699,,3.847442038764183,1.0,0.835503,0.9121387,0.92553824,0.7752728,0.7756362,0.7075893,0.7829715,0.79809076,0.7429175,0.76615596,0.7117128,0.7935944,0.6620671,0.60453016,0.36817226,0.59538245,0.516285,0.46947682,0.57386476,0.5377542,0.35604522,0.2783134,0.019987991,0.12753102,0.21157011,0.012845173,0.20905346,0.05630084,0.0
sample_000005,-4.895890143307501,21.1119300989603,7,reflector,10.15283131655734,0.4809049323755262,-43.132330018797916,0.8604350623000572,0.63559824,0.44755358,1.0,0.75725794,0.3186969,0.6993068,0.29375273,0.3442366,0.5304918,0.45779222,0.39026135,0.3198868,0.33806345,0.41354844,0.3072265,0.6455984,0.5369574,0.12020078,0.21838082,0.45493278,0.4274968,0.0,0.40039378,0.4211954,0.39841893,0.29496846,0.38235524,0.29235917,0.45719463,0.3957898
sample_000006,5.642978576149604,21.538132946273734,4,dirty_connector,16.33629948895808,0.7584826191624185,,1.394614171289065,0.7967936,0.7216126,0.7438223,1.0,0.712246,0.7581964,0.61460346,0.8659808,0.67981815,0.3859788,0.6396711,0.5054056,0.20511338,0.67221797,0.5770041,0.47759575,0.5894351,0.3445633,0.25278297,0.45849344,0.37276936,0.40126377,0.33011758,0.14355585,0.15617503,0.2912282,0.48288327,0.0,0.051115718,0.07584732
sample_000007,5.24424078560652,24.55069515207454,2,bad_splice,10.163607400961435,0.4139845058563488,,0.6353336064904782,0.6802757,1.0,0.6817858,0.7824248,0.49406683,0.85641456,0.74650186,0.8009715,0.45107743,0.7077797,0.49003723,0.59661967,0.3684155,0.6577958,0.45875773,0.46836883,0.48545867,0.45923713,0.4501552,0.35944942,0.43761218,0.2981293,0.30614936,0.20577413,0.26278055,0.17136371,0.1756758,0.0,0.08227817,0.16985789
sample_000008,14.40447772508536,19.338320308481727,6,pc_connector,9.35935991995471,0.48397998226607736,-12.233866173194098,1.2123013418101765,0.4491966,0.41503,0.46451798,0.42626166,0.4518011,0.39172423,0.41075963,0.36187327,0.33893573,0.34993762,0.3241844,0.2832915,0.26854554,0.31689307,1.0,0.16877931,0.17809294,0.16186649,0.11857173,0.1348434,0.13511609,0.051595192,0.10148606,0.12432074,0.09178667,0.07455697,0.0,0.056585338,0.039388265,0.005834342
sample_000009,-1.8237451778274192,6.712039077523252,5,fiber_cut,1.014786670046665,0.15118902889658417,-60.00260099603435,44.52272637601465,0.9196624,0.96032834,1.0,0.9472776,0.89473075,0.027784068,0.029767632,0.123497896,0.05034262,0.1339706,0.11997917,0.10278865,0.17474225,0.25369555,0.11552976,0.10276543,0.2341565,0.07232712,0.1696465,0.06535312,0.14838101,0.18507516,0.17729875,0.099431224,0.10077811,0.16628027,0.2690194,0.07101504,0.12656814,0.0
